,url,address,name,online_order,book_table,rate,votes,phone,location,rest_type,dish_liked,cuisines,approx_cost(for two people),menu_item,listed_in(type),listed_in(city)
14655,https://www.zomato.com/bangalore/eat-fit-indiranagar-bangalore?context=eyJzZSI6eyJlIjpbMTg2NTcxMjcsIjYxNjEwIiwiMTg0MjQwNjEiLCIxODU5MDA2MyIsIjE4MDIyMjgyIiwiNTY2MDIiLCIxODY5MzAwNyIsIjE4NTcxNDU0IiwiMTg0ODcxNzAiLCI1OTcxMyIsIjU4OTY5Il0sInQiOiJEZWxpdmVyeSBSZXN0YXVyYW50cyBpbiBGcmF6ZXIgVG93biJ9fQ==,"1/8, 1st Stage, 1st Cross, KK Computers Building, Shri Krishna Temple Road, Indiranagar, Bangalore",eat.fit,Yes,No,4.5/5,857,,Indiranagar,Delivery,"Sandwiches, Salads, Chicken Curry, Dal Makhani, Noodles, Apple Mojito, Shrikhand","Healthy Food, North Indian, Biryani, Continental, Sandwich, Desserts",500,"['Chicken Tikka Super Sub', 'Tofu Keema Parantha Wrap', 'Ghar Ke Rajma & Vegetable Pulao', 'Aloo Patty Super Sub', ""Pack Of 2: Chef'S Special Veg Thalis"", ""Pack Of 2: Chef'S Special Chicken Thalis"", 'Masala Egg Curry & Vegetable Pulao', 'Lucknowi Chicken Biryani', 'Lucknowi Veg Biryani', 'Fruit Pop Oatmeal Bowl', ""Chef'S Special Chicken Thali"", ""Chef'S Special Veg Thali"", 'Chicken Chettinad & Lachha Paranthas Meal', 'Chicken Keema Parantha Wrap', 'Masala Egg Curry & Paranthas Meal', 'Dal Makhani & Lachha Paranthas Meal', 'Classic Chocolate Brownie', 'Nutty Dates Pudding', 'Moist Chocolate Cake', 'Cinnamon Coconut Cake', 'Banana Walnut Cake', 'Dates Tea Cake', 'Chilli Tofu & Hakka Noodles', 'Chilli Chicken & Hakka Noodles', 'Weight Watch: Classic Fruit Bowl', 'Greek Cottage Cheese & Spinach Wraps', 'Chicken Tikka Super Sub', 'Tofu Keema Parantha Wrap', 'Ghar Ke Rajma & Vegetable Pulao', 'Aloo Patty Super Sub', ""Pack Of 2: Chef'S Special Veg Thalis"", ""Pack Of 2: Chef'S Special Chicken Thalis"", 'Masala Egg Curry & Vegetable Pulao', 'Lucknowi Chicken Biryani', 'Lucknowi Veg Biryani', 'Fruit Pop Oatmeal Bowl', ""Chef'S Special Chicken Thali"", ""Chef'S Special Veg Thali"", 'Chicken Chettinad & Lachha Paranthas Meal', 'Chicken Keema Parantha Wrap', 'Masala Egg Curry & Paranthas Meal', 'Dal Makhani & Lachha Paranthas Meal', 'Healthy Snickers Smoothie', 'Classic Chocolate Brownie', 'Superfood Trail Mix', 'Nutty Dates Pudding', 'Guava Glow', 'Moist Chocolate Cake', 'Cinnamon Coconut Cake', 'Banana Walnut Cake', 'Cashew Crunch Trail Mix', 'Dates Tea Cake', 'The Health Jump', 'The Core Cleanse', 'The Anti-Oxidant Kick']",Delivery,Frazer Town
2670,https://www.zomato.com/bangalore/roll-over-jayanagar?context=eyJzZSI6eyJlIjpbIjE4NTUyMjUxIiwiNTg1OTIiLCIxODYxMDI5MSIsIjE4ODkwOTQwIiwxODM4NzM3NywiMTg2NDczMTYiLCIxODY0ODM3NyIsIjE4ODE2OTI5IiwiMTg3MjkzOTIiLCIxODU4NjQxNyIsIjE4Njc2NjQ0IiwiMTg4OTQ5ODIiLCIxODcyNzMyNSIsIjE4MzU5ODk2IiwiMTg1ODI4OTQiLCIxODU0MTU4MSIsIjUwNjcxIiwiNTcxMDMiLCI1MTg4NyIsIjUwNDEzIl0sInQiOiJEZWxpdmVyeSBSZXN0YXVyYW50cyBpbiBCYXNhdmFuYWd1ZGkifX0=,"1A/29 , Shop 2 , 27th Cross, Jayanagar, Bangalore",Roll Over,Yes,No,4.1/5,438,"+91 8884942976
+91 8884942900",Jayanagar,Dessert Parlor,"Rolls, Ice Cream Roll, Paan Ice Cream, Coffee, Vanilla Ice Cream, Chocolate Icecreams, Mississippi Mudpie","Desserts, Ice Cream, Beverages, Fast Food, Sandwich",500,[],Delivery,Basavanagudi
44695,https://www.zomato.com/bangalore/nala-bheema-hotel-sanjay-nagar-bangalore?context=eyJzZSI6eyJlIjpbIjE4OTQxNTk2IiwiNTgyMzUiLCIxODY1NzI4MSIsIjE4ODU0MzYyIiwxODgwNzQ3MywiNTgyMzEiLCIxODY2NTk3MiJdLCJ0IjoiRGluZS1PdXQgUmVzdGF1cmFudHMgaW4gTmV3IEJFTCBSb2FkIn19,"3rd Cross, Near Muneshwara Temple, Raj Mahal Vilas, 2nd Stage, Nagashettyhalli, AECS Layout, Sanjay Nagar, Bangalore",Nala Bheema Hotel,No,No,,0,"+91 8618369186
+91 7337811056",Sanjay Nagar,Quick Bites,,South Indian,150,[],Dine-out,New BEL Road
27313,https://www.zomato.com/bangalore/juice-99-btm?context=eyJzZSI6eyJlIjpbIjUxNzQxIiwiMTg2NjM4NjgiLCI1MDI2MCIsIjU3NTAzIiwxODYzMTk1MSwiMTg2ODAyMDIiLCIxODY4MDQxNyIsIjE4ODc3NzY5IiwiMTg4OTM5NjMiLCIxODgxOTM2MiIsIjU3MjkyIiwiMTg0NDMwNzkiLCIxODg1NTY0NiIsIjE4ODY1OTIwIiwiMTg3NjY3MDEiXSwidCI6IkRlbGl2ZXJ5IFJlc3RhdXJhbnRzIGluIEtvcmFtYW5nYWxhIDR0aCBCbG9jayJ9fQ==,"Tavarekere Main Road, 2nd Stage, BTM, Bangalore",Juice 99,Yes,No,3.5/5,20,+91 8075409113,BTM,Beverage Shop,,"Fast Food, Beverages",150,[],Delivery,Koramangala 4th Block
32150,https://www.zomato.com/bangalore/fetchpod-cafe-koramangala-6th-block?context=eyJzZSI6eyJlIjpbIjE4Mjk4MjY2IiwiMTgzMDYwMTUiLCIxODYwNzk4NCIsIjU3MzA5IiwxODQyNjk4NywiMTgzMDQ3NjUiLCI1MTA0MCIsIjU0MDQ0IiwiNTY1NDIiLCI1OTg0MCIsIjU1OTE5IiwiMTgzODA4MzEiLCIxODg5MzM0MyIsIjE4ODc4OTQ0IiwiNTM4NzciLCI1OTE2OCJdLCJ0IjoiQ2FmXHUwMGU5cyBhbmQgRGVsaXMgaW4gS29yYW1hbmdhbGEgNnRoIEJsb2NrIn19,"897-E, 5th Floor, 6th Block Extension, 80 Feet Road, Koramangala 6th Block, Bangalore",Fetchpod Cafe,No,No,2.9 /5,12,"080 25530333
+91 7022959992",Koramangala 6th Block,Cafe,,"Cafe, North Indian, Chinese, Continental",500,[],Cafes,Koramangala 6th Block
2541,https://www.zomato.com/bangalore/al-diwan-biryanis-and-more-basavanagudi-bangalore?context=eyJzZSI6eyJlIjpbMTg4MDMxNjAsIjE4NzczOTkzIiwiMTgwODk2OTMiLCI1NzQ5MiIsIjE4NTg4NTM2IiwiMTg2NTcxOTMiLCI1NTM5NyIsIjE4MTczMDkyIiwiMTg3OTcxMzIiLCI1MTk1NiIsIjUzNDc4Il0sInQiOiJEZWxpdmVyeSBSZXN0YXVyYW50cyBpbiBCYXNhdmFuYWd1ZGkifX0=,"11/2, Ground Floor, Khazi Street, Basavanagudi, Bangalore",Al Diwan Biryanis And More,Yes,No,3.3/5,12,080 45128807,Basavanagudi,"Takeaway, Delivery",,Biryani,300,[],Delivery,Basavanagudi
47079,https://www.zomato.com/bangalore/udupi-ruchi-vijay-nagar-bangalore?context=eyJzZSI6eyJlIjpbIjE4NzI1ODAzIiwiNTQzMTgiLCI1MjIwMiIsIjE4NDg5MTM0IiwxODgyNTA3NSwiNjE2NDYiLCIxNzk0NjEwOCIsIjE4NTE4NzcyIiwiNTQ1NDEiLCIxODUwMjEzNiIsIjUyMjA0IiwiNTMzOTEiLCIxODY4MTE3MyIsIjU4ODM2IiwiMTg2NDg5MjAiXSwidCI6IkRpbmUtT3V0IFJlc3RhdXJhbnRzIGluIFJhamFqaW5hZ2FyIn19,"12, Vijay Nagar, Bangalore",Udupi Ruchi,No,No,,0,+91 8655897027,Vijay Nagar,Quick Bites,,South Indian,100,[],Dine-out,Rajajinagar
35767,https://www.zomato.com/bangalore/polammas-mess-koramangala-7th-block-bangalore?context=eyJzZSI6eyJlIjpbIjU4ODAyIiwiMTgzNTE0NDAiLCI1MTk2MyIsIjE4Nzk2NzE0IiwxODgxMTkwNCwiMTg0MzMwMDciLCIxODYxMzgwMiIsIjE4NjA5MTk5IiwiMTgzMDU2NDMiLCI1NDE3MSIsIjE4NjEzNjY3IiwiMTg0NTc2MzEiLCIxODY3ODY4OCIsIjE4NTc1NzAyIiwiMTg1NjQyMjIiXSwidCI6IkRlbGl2ZXJ5IFJlc3RhdXJhbnRzIGluIEtvcmFtYW5nYWxhIDd0aCBCbG9jayJ9fQ==,"48, Hosur Road, Nanjappa Layout, Adugodi, Koramangala 7th Block, Bangalore",Polamma's Mess,No,No,3.8 /5,26,+91 9743060222,Koramangala 7th Block,Mess,,"North Indian, Chinese, Biryani",300,[],Delivery,Koramangala 7th Block
9847,https://www.zomato.com/bangalore/biryani-knights-jp-nagar?context=eyJzZSI6eyJlIjpbIjU4NjYzIiwiMTg2NzI3OTQiLCIxODY1NjA4OSIsIjE4Nzc4MTU0IiwxODMwNTkzNSwiMTg1NzY4MTAiLCIxODQ1NzYzNiIsIjE4NDg3NjE4IiwiMTg2MzU3NDIiLCIxODYzNTI0MyIsIjE4NzA2MDUxIiwiMTg3MTM4NDciLCIxODc4NDgyMiIsIjUyMTc5IiwiMTg0MTk4MjUiLCIxODU2MDczMiIsIjU3Njg1IiwiNTk1MTMiLCIxODcwMzcxMCIsIjE4NTkzNzc3IiwiMTg3MTQzOTEiXSwidCI6IkRlbGl2ZXJ5IFJlc3RhdXJhbnRzIGluIEJUTSJ9fQ==,"BTM & J P Nagar, Bangalore",Biryani Knights,No,No,3.6/5,21,"+91 9632111158
+91 9632111162",JP Nagar,Delivery,,Biryani,300,[],Delivery,BTM
8623,https://www.zomato.com/bangalore/makers-of-milkshakes-koramangala-5th-block?context=eyJzZSI6eyJlIjpbIjU4MzQ1IiwiNTU2NzEiLCIxODc3MzEyMiIsIjE4NzIzNDUwIiwxODYxOTQ0OSwiMTg1NjcwNzAiLCIxODY5NTI4MiIsIjE4ODk0OTgyIiwiMTg1NjkwNzEiLCIxODgyMTc4OSIsIjE4MjMyNjU4IiwiMTg2NDcwOTciLCIxODgwNzgzNiIsIjE4ODEyNjQ3IiwiMTg1MzU1NzEiXSwidCI6IkRlbGl2ZXJ5IFJlc3RhdXJhbnRzIGluIEJUTSJ9fQ==,"30, Koramangala 5th Block, Bangalore",Makers of Milkshakes,Yes,No,4.1/5,55,+91 7411568300,Koramangala 5th Block,Beverage Shop,"Vanilla Ice Cream, Chocolate Milkshake",Beverages,400,[],Delivery,BTM
8712,https://www.zomato.com/bangalore/modern-restaurant-btm-bangalore?context=eyJzZSI6eyJlIjpbIjUyNDA4IiwiMTgzNjcxMzkiLCIxODg1NzE2OSIsIjE4NjMwNDM4IiwxODY4MzI1MywiMTg4ODUzMzgiLCIxODU3MDk3MiIsIjE4ODY2NjExIiwiMTgzOTkyMTgiLCIxODY5MTExNiIsIjE4ODg3NjA5IiwiMTg1NDUwNTciLCIxODg4ODc0NiIsIjE4NjcyNzI0IiwiMTg2MDQ2ODgiLCIxODg5MzM0MyJdLCJ0IjoiRGVsaXZlcnkgUmVzdGF1cmFudHMgaW4gQlRNIn19,"425, Ground Floor, 7th Cross, 8th Main, BTM, Bangalore",Modern Restaurant,Yes,No,3.1/5,18,"080 26680307
+91 9901539163",BTM,Casual Dining,,"North Indian, Chinese",450,[],Delivery,BTM
19651,https://www.zomato.com/bangalore/just-thindi-basavanagudi?context=eyJzZSI6eyJlIjpbIjE4NzMzOTEwIiwiNjA3ODYiLCIxODIwMjk5NCIsIjE4NTYzODE4IiwxODY0NjIzOSwiMTg0MTI0NDMiLCIxODUyMTYzMSIsIjYwNjgxIiwiMTg2MTg4NzMiLCI1NTY3MSIsIjE4ODAxMzY5IiwiMTg1Nzc3ODEiLCIxODc5Njc4OSIsIjYwMjI0IiwiMTg1NzA4ODAiXSwidCI6IkRlbGl2ZXJ5IFJlc3RhdXJhbnRzIGluIEpheWFuYWdhciJ9fQ==,"27, Gandhi Bazaar Main Rd, Basavanagudi, Bangalore",Just Thindi,Yes,No,3.6/5,16,,Basavanagudi,Quick Bites,,South Indian,200,[],Delivery,Jayanagar
39916,https://www.zomato.com/bangalore/fish-palace-rajajinagar?context=eyJzZSI6eyJlIjpbIjE4Njc5NTIxIiwiMTg4NDgxNzEiLCI1MTUwNCIsIjUwODc5Iiw1NDI3NiwiMTc5NDYxMzYiLCI1ODczMyIsIjUwOTQ2IiwiNTU2ODgiLCIxODYyNTkzNyIsIjE4Mjc4MjYxIiwiMTg3NDI5NDEiLCIxODkwNDEzNSIsIjE4NjU5MTgxIiwiMTg3OTg3ODQiLCI2MDQyNiIsIjE4MTY1NzY3IiwiNTIxOTkiLCI1NzEzMiIsIjE4MzMxMjE3Il0sInQiOiJEZWxpdmVyeSBSZXN0YXVyYW50cyBpbiBNYWxsZXNod2FyYW0ifX0=,"522, 17th Cross, Bridge Road, Opposite Vivekananda College, 2nd Stage, Rajajinagar, Bangalore",Fish Palace,No,No,3.0 /5,28,080 23375999,Rajajinagar,Quick Bites,,"Mangalorean, Chinese, Seafood, North Indian",450,[],Delivery,Malleshwaram
45578,https://www.zomato.com/bangalore/the-belgian-waffle-co-indiranagar-bangalore?context=eyJzZSI6eyJlIjpbIjU4Mjk5IiwiNTQxNjEiLCI2MDcwMSIsIjE4OTQ1MTY5IiwxODc0OTE1NSwiNTk4NDIiLCIxODY0NTc1OCIsIjUyOTEyIiwiMTg1MTQ3NjMiLCIxODY3MjQ0MCIsIjYwMjg0IiwiMTg1NjA3NjciLCIxODQ0MjY5NCIsIjE4NDIzNDMyIiwiMTg0MjI5MDIiXSwidCI6IkRlc3NlcnRzICYgQmFrZXMgaW4gT2xkIEFpcnBvcnQgUm9hZCJ9fQ==,"949, 12th Main Rd, Appareddipalya, Indiranagar, Bengaluru, Karnataka",The Belgian Waffle Co.,Yes,No,4.0 /5,74,080 43755127,Indiranagar,Dessert Parlor,"Waffles, Pancakes","Desserts, Beverages",350,"['Maple Butter Waffle', 'Blueberry Cream Cheese Waffle', 'Almond Cocoa Butter Waffle', 'Banana Salted Caramel Waffle', 'Belgian Milk Chocolate Waffle', 'Belgian Dark Chocolate Waffle', 'Naked Nutella Waffle', 'Kit Kat Wafee Waffle', 'Milk Chocolate Overload Waffle', 'Dark Chocolate Overload Waffle', 'Dark White Fantasy Waffle', 'Triple Chocolate Waffle', 'Red Velvet Waffle', 'Nutella Shake', 'Belgian Milk Chocolate Pancake', 'Signature Combo', 'Chocolate Indulgence Combo', 'Signature Combo', 'Fruit n Nuts Medley Combo', 'Childhood Memories Combo', 'Off The Beaten Path Combo', 'Chocolate Indulgence Combo', 'Honey Butter Waffle', 'Maple Butter Waffle', 'Strawberry Cream Cheese Waffle', 'Blueberry Cream Cheese Waffle', 'Granny Apple Pie Waffle', 'Almond Cocoa Butter Waffle', 'Butterscotch Crunch Waffle', 'Banana Salted Caramel Waffle', 'Belgian Milk Chocolate Waffle', 'Belgian Dark Chocolate Waffle', 'Coffee Wafee Waffle', 'Snickers Waffle', 'Naked Nutella Waffle', 'Kit Kat Wafee Waffle', 'Milk Chocolate Overload Waffle', 'Dark Chocolate Overload Waffle', 'Dark White Fantasy Waffle', 'Triple Chocolate Waffle', 'Red Velvet Waffle', 'Cotton Candy Waffle', 'Vanilla Ice Cream Waff Wich', 'Chocolate Ice Cream Waff Wich', 'Rocky Road Ice Cream Sundae', 'Banana Split Royale Ice Cream Sundae', 'Pizza Waffle', 'Almond Cocoa Butter Pancake', 'Banana Salted Caramel Pancake', 'Belgian Milk Chocolate Pancake', 'Belgian Dark Chocolate Pancake', 'Triple Chocolate Pancake', 'Naked Nutella Pancake', 'Red Velvet Pancake', 'Cotton Candy Pancake', 'Nutella Shake', 'Blueberry Smoothie', 'Belgian Chocolate Shake', 'Oreo Shake', 'Kit Kat Shake', 'Signature Cold Coffee', 'Berry Lemonade', 'Lemon Iced Tea', 'Peach Iced Tea']",Desserts,Old Airport Road
26145,https://www.zomato.com/bangalore/coffee-mechanics-hbr-layout?context=eyJzZSI6eyJlIjpbIjUzNTgwIiwiMTg3NjU1NTkiLCIxODkyOTU3OCIsIjE4NDM1Njg5IiwxODU2OTc4NSwiNTE0ODEiLCI1MjQwMSIsIjE4NjEwMjc4IiwiMTg0OTQwNzIiLCI1MzcwMSIsIjE4Njc0NDk4IiwiMTg3OTEwMjUiLCIxODM4NzQxOCIsIjE4ODg4MDM4IiwiMTg2MTcxNDIiLCIxODM3MTI0NiIsIjE4ODM2NzM5IiwiNTc2ODIiXSwidCI6IkRpbmUtT3V0IFJlc3RhdXJhbnRzIGluIEthbW1hbmFoYWxsaSJ9fQ==,"254, 3rd Main Road, 1st Stage, 5th Block, HBR Layout, Bangalore",Coffee Mechanics,Yes,No,4.3 /5,193,"+91 9483543244
+91 9986093007",HBR Layout,Cafe,"Brownie, Fries, English Breakfast, Cinnamon Roll, Brewed Coffee, Wings, Cappuccino","Cafe, Bakery, French, Jewish, Sandwich, Vegan, Coffee",700,[],Dine-out,Kammanahalli
3257,https://www.zomato.com/bangalore/sweet-chariot-2-jayanagar?context=eyJzZSI6eyJlIjpbIjUzMjYwIiwiMTg1NzQyNzciLCI1NTI5OCIsIjUyOTU4IiwxODY0MTA1OSwiMTg0MTI0MzMiLCI2MTAzMSIsIjE4Njg1NTU4IiwiNjA4ODUiLCI1NTEyMCIsIjU4MDQzIiwiMTg3ODk0NjAiLCIxODU1NjAyMSIsIjE4NDg3MTgzIiwiMTg3NDEzNDYiXSwidCI6IkRlc3NlcnRzICYgQmFrZXMgaW4gQmFzYXZhbmFndWRpIn19,"10th Main Road, 4th T Block East, Jayanagar, Bangalore",Sweet Chariot,No,No,,0,080 41552040,Jayanagar,Bakery,,"Bakery, Desserts, Fast Food",500,[],Desserts,Basavanagudi
46508,https://www.zomato.com/bangalore/the-right-moo-organic-icecreams-rajajinagar-bangalore?context=eyJzZSI6eyJlIjpbIjE4Njc5OTkxIiwiMTg3NzcyNTYiLCIxODUwMjExNSIsIjE4NTAyMTEyIiwxODQxNzUzNywiNTU2OTQiLCI1NTg2MCIsIjE4Njg0MTgwIiwiMTg3NDI5OTMiLCIxODg5MTQzMiIsIjE4ODk0NjM1IiwiMTg4OTkyMjEiLCIxODkyNjE4NyIsIjE4OTQ4MTY0IiwiMTg5MzQwODQiXSwidCI6IkRlbGl2ZXJ5IFJlc3RhdXJhbnRzIGluIFJhamFqaW5hZ2FyIn19,"236, 1st B Main Road, Shivanagar, Rajajinagar, Bangalore",The Right Moo Organic Icecreams,No,No,,0,+91 9663144825,Rajajinagar,Dessert Parlor,,Desserts,300,[],Delivery,Rajajinagar
37451,https://www.zomato.com/bangalore/tummy-delight-btm?context=eyJzZSI6eyJlIjpbIjE4MzMzMTU5IiwiNTkwMDAiLCIxODY3NjQyNCIsIjE4NjgwOTIwIiwxODY0OTQ1NywiMTg1Mzc4MjUiLCIxODQ3MDc4OSIsIjE4NDgwMDUxIiwiMTg3MzU0MzciLCIxODYxNzUxMiIsIjE4Nzc5NzcxIiwiMTg2NDk0MzEiLCIxNzk1NjcwMSIsIjE4NTU3NzA5IiwiMTg1NjM5MjEiLCI1NjkwMyIsIjU2OTA2IiwiNTY5MjIiLCI1NzUwMSIsIjUxODU2IiwiNTI1NDgiLCI2MDM5NSIsIjU4MTQ3IiwiMTg2Nzk0NjMiXSwidCI6IkRpbmUtT3V0IFJlc3RhdXJhbnRzIGluIEtvcmFtYW5nYWxhIDd0aCBCbG9jayJ9fQ==,"7/30, Tavarekere Main Road, 1st Stage, BTM, Bangalore",Tummy Delight,No,No,3.5 /5,16,+91 8884263854,BTM,Quick Bites,,North Indian,400,[],Dine-out,Koramangala 7th Block
21754,https://www.zomato.com/bangalore/sattvam-jp-nagar-bangalore?context=eyJzZSI6eyJlIjpbIjE4NzY3ODk3IiwiNTAwNjciLDE4Njc2Njg5LCI1Mjg0OCIsIjUxNTQxIiwiNjA2ODEiLCIxODc2OTczNCIsIjE4MTk4ODc4IiwiMTg0NzIzODkiLCI1MTUxNiIsIjE4ODU2MjYyIiwiNTQ3MjgiLCIxODY0MjM4NSJdLCJ0IjoiUmVzdGF1cmFudHMgaW4gSlAgTmFnYXIgc2VydmluZyBCdWZmZXQifX0=,"281, 2nd Floor, 15th Cross, 5th Phase, JP Nagar, Bangalore",Sattvam,No,No,4.3/5,357,"080 26595000
+91 9483275526",JP Nagar,Casual Dining,"Noodles, Veg Buffet, Mango Juice, White Pasta, Panipuri, Thin Crust Pizza, Dal Makhani","North Indian, South Indian","1,200",[],Buffet,JP Nagar
6221,https://www.zomato.com/bangalore/caf%C3%A9-mh-28-shivajinagar-bangalore?context=eyJzZSI6eyJlIjpbIjE4NDU1NTc3IiwiNTA4OTEiLCI1MDc2OSIsIjU0MTIwIiwxODgxODgxOCwiNTA2OTkiLCIxODc0MDE2NyIsIjU0MzYwIiwiNTQ1MzEiLCI1MjE3NSIsIjE4NzM4MjIzIiwiNTIwODkiLCI1MjM5NCIsIjE4MTYzODQ1IiwiNTE5NDEiLCI1MTM2NyIsIjUxNjI0IiwiNTc2ODEiLCI1NTg4MyIsIjU0MTAxIl0sInQiOiJEaW5lLU91dCBSZXN0YXVyYW50cyBpbiBCcmlnYWRlIFJvYWQifX0=,"28, Ameen House, Sulthangunta, Shivajinagar, Bangalore",CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ© MH-28,Yes,No,3.4/5,9,+91 9886079272,Shivajinagar,Cafe,,Cafe,300,[],Dine-out,Brigade Road
42052,https://www.zomato.com/bangalore/mcdonalds-brookefield?context=eyJzZSI6eyJlIjpbIjE4Mzk4MzkzIiwiNTUwNDIiLCIxODU2NTgzNiIsIjE4MTYwMDg3Iiw1MTcyNywiMTg2Mzg1NjIiLCI1NTk1OCIsIjE4ODYyNDU2IiwiMTg3MzEyNDMiLCIxODM5ODM4OCIsIjE4NDIxODc2IiwiMTgzOTgzODYiLCI1NzA1OCIsIjE4MjQ2NTE2IiwiMTc5NzgzNzkiLCI1OTA0NSIsIjE4NzIwNzEwIiwiMTg0MTc1NDciLCIxODc1MDM2MCIsIjE4NjI3NjY3IiwiMTgwODk2NzQiLCIxODY3MjU0OCIsIjE4NzExMTk0Il0sInQiOiJEaW5lLU91dCBSZXN0YXVyYW50cyBpbiBNYXJhdGhhaGFsbGkifX0=,"736, Near Tata Motors, Kundanahalli Road, Brookefield, Bangalore",McDonald's,Yes,No,3.0 /5,401,+91 8928210111,Brookefield,Quick Bites,"Burgers, Mcmuffin, French Fries, Waffles, Pancakes, Mc Veggie, Coffee","Fast Food, Burger, Beverages, Cafe, Desserts",500,[],Dine-out,Marathahalli
51363,https://www.zomato.com/bangalore/nandi-mess-feel-like-moms-whitefield-bangalore?context=eyJzZSI6eyJlIjpbIjE4ODQ4NzI1IiwiNTY3NzUiLCI1OTA5NyIsIjU5NDk1IiwxODU3MDcwMiwiMTgyMzc5MTQiLCIxODY2NzE3NSIsIjE4NDUwODkzIiwiMTg1MTQwMTQiLCIxODYyMzAyOCIsIjE4NjIyMjc5IiwiMTg0NDMxMDMiLCIxODg5MDg1MCIsIjE4OTA0NTUzIiwiMTg5MjEwNzgiLCIxODk1NDI2OSJdLCJ0IjoiRGluZS1PdXQgUmVzdGF1cmFudHMgaW4gV2hpdGVmaWVsZCJ9fQ==,"Shop 1 & 2, ECC Road, Behind IDBI Bank, Near GR Tech Park",Nandi Mess - Feel Like Mom's,Yes,No,3.7 /5,31,"+91 8668176616
+91 9590093434",Whitefield,Quick Bites,,South Indian,250,[],Dine-out,Whitefield
11789,https://www.zomato.com/bangalore/pizza-hut-shanti-nagar?context=eyJzZSI6eyJlIjpbIjE4OTIxNTMwIiwiMTg5MzAxODMiLCIxODQ5NDA2NCIsIjUxMDI5Iiw1MjkyNCwiMTg3NTIwMjUiLCI2MDUwMyIsIjE4NzYwMzQ3IiwiMTg3MjAxODkiLCI1MzIxNiIsIjE4NjQ3MTA2IiwiMTg0ODAwNTUiLCI1OTYyNiIsIjE4NDc2NDM5IiwiMTgyMDgzNTYiLCIxODQ4MDA0MSJdLCJ0IjoiRGVsaXZlcnkgUmVzdGF1cmFudHMgaW4gQ2h1cmNoIFN0cmVldCJ9fQ==,"3, Shaughnes Say Road, Opposite Divya Shree Chambers, Shanti Nagar, Bangalore",Pizza Hut,Yes,No,3.8/5,235,"080 39883988
080 60009000",Shanti Nagar,Casual Dining,"Garlic Bread, Paneer Pizza, Supreme Pizza, Tandoori Paneer","Pizza, Fast Food",750,[],Delivery,Church Street
11741,https://www.zomato.com/bangalore/danny-lambas-punjabi-dhaba-indiranagar?context=eyJzZSI6eyJlIjpbIjE4Mjk4MjM1IiwiMTg4NTgwNjIiLCIxODc1NTQwNiIsIjYwNDUzIiw1MDM1MywiMTg0MzAzNjgiLCIxODc3Mjk4MyIsIjE4NDI0MDYxIiwiMTg1MTI0MDYiLCI1MDg0NCIsIjE4NzI5NzU3IiwiMTg0NjAwNjAiLCIxODg4MTczMyIsIjE4NzYzMjI2IiwiMTg1ODM4MjciLCI1OTIxOCIsIjE4NzkxMzQ3IiwiNTE4MjQiLCI1ODg1MSJdLCJ0IjoiRGVsaXZlcnkgUmVzdGF1cmFudHMgaW4gQ2h1cmNoIFN0cmVldCJ9fQ==,"17, BDA Complex, Off Double Road, Indiranagar, Bangalore",Danny Lambas Punjabi Dhaba,Yes,No,3.5/5,98,+91 9343775155,Indiranagar,Casual Dining,"Tandoori Chicken, Paneer Makhani, Mutton Roganjosh, Paratha, Aloo Jeera, Butter Chicken","North Indian, Chinese, Biryani",600,[],Delivery,Church Street
